company_id,company_name,cik,matched_name,reason
1,PEAK6,1383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",zero_overlap
3,Optimum,744126,FIRST CHESTER COUNTY CORP,zero_overlap
4,HiBob,1857044,"Indaptus Therapeutics, Inc.",zero_overlap
5,Tapestry - Coach and Kate Spade,1116132,"TAPESTRY, INC.",low_jaccard
6,Altana,57055,KV PHARMACEUTICAL CO /DE/,zero_overlap
11,Templafy,1901606,Golub Capital Direct Lending Unlevered Corp,zero_overlap
13,Augury,1269026,AMEDICA Corp,zero_overlap
16,Trail of Bits,1609989,"Blue Buffalo Pet Products, Inc.",zero_overlap
17,TransUnion,1552033,"TransUnion Holding Company, Inc.",low_jaccard
23,Fora,1476204,Phillips Edison - ARC Shopping Center REIT Inc.,zero_overlap
24,New York Life Insurance Company,1522690,"GWG Holdings, Inc.",zero_overlap
25,PwC,1077552,GENTEK INC,zero_overlap
26,"Fluent, Inc.",1460329,"IDI, Inc.",zero_overlap
27,Liftoff,100517,"United Airlines Holdings, Inc.",zero_overlap
28,Whatnot,1276591,HANSEN MEDICAL INC,zero_overlap
31,Vercel,880584,SEAMLESS Corp,zero_overlap
32,Luxury Presence,1792509,TriplePoint Private Venture Credit Inc.,zero_overlap
35,Trustpilot,1265521,Trustfeed Corp.,zero_overlap
36,Flume Health,1332815,"RESIDENTIAL CAPITAL, LLC",zero_overlap
37,Oso,1253557,Premier Beverage Group Corp,zero_overlap
38,Opto Investments,1051627,AXT INC,zero_overlap
39,firsthand Health Inc,1495584,"Firsthand Technology Value Fund, Inc.",low_jaccard
40,RTB House,764765,NORTH PITTSBURGH SYSTEMS INC,zero_overlap
41,Pontera,1289419,"Morningstar, Inc.",zero_overlap
43,Kepler,1704715,"Alpha Metallurgical Resources, Inc.",zero_overlap
44,Genius Sports,1858327,"dMY Technology Group, Inc. VI",zero_overlap
46,Teachable,1766352,"Carrier EQ, LLC",zero_overlap
49,Radar,1910139,Mobileye Global Inc.,zero_overlap
50,Superhuman,1103837,CROWN MEDIA HOLDINGS INC,zero_overlap
51,Circle,1008597,PLANET HOLLYWOOD INTERNATIONAL INC,zero_overlap
52,Belvedere Trading,1050816,BELAIR CAPITAL FUND LLC,zero_overlap
53,Notion,80661,PROGRESSIVE CORP/OH/,zero_overlap
54,Hex,916545,TURBOCHEF TECHNOLOGIES INC,zero_overlap
56,Bilt,109261,ZENITH NATIONAL INSURANCE CORP,zero_overlap
57,PatientPoint,1715933,TCW Direct Lending VII LLC,zero_overlap
59,Alchemy,1084876,NETTAXI INC,zero_overlap
60,Vannevar,889423,SATCON TECHNOLOGY CORP,zero_overlap
62,Coinbase,2013744,Bitwise Ethereum ETF,zero_overlap
65,Blacksmith,1295947,"Prestige Brands Holdings, Inc.",zero_overlap
66,Nourish,51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,zero_overlap
69,M13,1345626,"Citigroup Mortgage Loan Trust Inc., Series 2005-HE4",zero_overlap
72,Gusto,1830232,Altimeter Growth Corp. 2,zero_overlap
73,Block,1100441,REGENERATION TECHNOLOGIES INC,zero_overlap
75,Philo,1060390,TWEETER HOME ENTERTAINMENT GROUP INC,zero_overlap
77,Kalshi,780571,"ITRON, INC.",zero_overlap
78,Rain,1872292,Rainmaker Worldwide Inc.,zero_overlap
79,The Farmer's Dog,863015,ISLE OF CAPRI CASINOS INC,zero_overlap
80,Grow Therapy,787784,AMERICAN RETIREMENT CORP,zero_overlap
81,Formation Bio,722104,BIO TECHNOLOGY GENERAL CORP,low_jaccard
82,Movable Ink,1435064,CEMTREX INC,zero_overlap
83,Taskrabbit,47217,HP INC,zero_overlap
88,January,1707817,Wells Fargo Commercial Mortgage Trust 2017-C38,zero_overlap
89,Copia Automation,1805385,"Evolv Technologies Holdings, Inc.",zero_overlap
91,Northwestern Mutual,1079577,STANCORP FINANCIAL GROUP INC,zero_overlap
92,Grocery TV,870228,SYNERGY BRANDS INC,zero_overlap
94,Axio,1310291,"SMARTPAY EXPRESS, INC.",zero_overlap
95,Capco,1094019,NEWTEK BUSINESS SERVICES INC,zero_overlap
98,FloQast,1816937,BOXABL Inc.,zero_overlap
99,FreeWheel,1166691,COMCAST CORP,zero_overlap
100,Agora RE,1437491,"Ecoark Holdings, Inc.",zero_overlap
102,Current,874761,AES CORPORATION,zero_overlap
