company_id,company_name,cik,matched_name
2,BlackRock,1364742,BlackRock Inc.
8,Alloy,1080359,ALLOY  INC
10,Navan,1639723,"Navan, Inc."
15,Rubrik,1943896,"Rubrik, Inc."
19,Sage,1597553,"Sage Therapeutics, Inc."
20,Forge,1827821,"Forge Global Holdings, Inc."
21,MetLife,1099219,METLIFE INC
22,Yext,1614178,"Yext, Inc."
29,Hinge,1673743,"Hinge Health, Inc."
33,SoFi,1818874,"SoFi Technologies, Inc."
42,Regal,1168696,REGAL ENTERTAINMENT GROUP
45,BlackLine,1666134,"BLACKLINE, INC."
47,Chime,1795586,"Chime Financial, Inc."
55,Tempus AI,1717115,"Tempus AI, Inc."
58,ZS,1459266,"ZS Pharma, Inc."
63,Pfizer,78003,PFIZER INC
64,Atlassian,1650372,Atlassian Corp
70,Zeta Global,1851003,Zeta Global Holdings Corp.
71,UL Solutions,1901440,UL Solutions Inc.
76,MarketAxess,1278021,MARKETAXESS HOLDINGS INC
84,Clearwater Analytics (CWAN),1866368,"Clearwater Analytics Holdings, Inc."
85,Squarespace,1496963,"Squarespace, Inc."
86,CAIS,1078404,CAIS INTERNET INC
87,Mastercard,1141391,MASTERCARD INC
90,ServiceNow,1373715,"ServiceNow, Inc."
93,Braze,1676238,"Braze, Inc."
96,Capital One,927628,CAPITAL ONE FINANCIAL CORP
97,Snap Inc.,1564408,Snap Inc
101,Magnite,1595974,"MAGNITE, INC."
113,Skillsoft,1774675,Skillsoft Corp.
120,Upstart,1647639,"Upstart Holdings, Inc."
128,Qualtrics,1747748,Qualtrics International Inc.
129,Affirm,1820953,"Affirm Holdings, Inc."
133,Datadog,1561550,"Datadog, Inc."
140,Octus,891462,OCTUS INC
145,Take-Two Interactive Software,946581,TAKE TWO INTERACTIVE SOFTWARE INC
146,SharkNinja,1957132,"SharkNinja, Inc."
150,Taboola,1840502,Taboola.com Ltd.
152,Enova,1529864,"Enova International, Inc."
155,DraftKings,1883685,DraftKings Inc.
158,MongoDB,1441816,"MongoDB, Inc."
160,InterSystems,806011,INTERSYSTEMS INC /DE/
165,CoreWeave,1769628,"CoreWeave, Inc."
166,Camber,1309082,"CAMBER ENERGY, INC."
182,Morningstar,1289419,"Morningstar, Inc."
183,Zscaler,1713683,"Zscaler, Inc."
187,GoodRx,1809519,"GoodRx Holdings, Inc."
198,Spiral,1520108,Spiral Toys Inc.
211,Immunovant,1764013,"Immunovant, Inc."
228,Fox Corporation,1754301,Fox Corp
236,Vantage,1419428,Vantage Drilling CO
241,Charlie Health,1134765,"Charlie's Holdings, Inc."
251,Angi,1705110,Angi Inc.
252,ACE & Company,896159,ACE LTD
265,The Trade Desk,1671933,"Trade Desk, Inc."
288,Kroll,1020476,KROLL INC
293,Marsh McLennan,62709,"MARSH & MCLENNAN COMPANIES, INC."
320,Voya Financial,1535929,"Voya Financial, Inc."
344,BuzzFeed,1828972,"BuzzFeed, Inc."
347,Orion Group,1402829,Orion Group Holdings Inc
350,Tandem,1292653,Neutral Tandem Inc
357,Millennium,1018099,MILLENNIUM CHEMICALS INC
363,Imax Corporation,921582,IMAX CORP
370,Teads,1454938,Teads Holding Co.
378,AMC Networks Inc.,1514991,AMC Networks Inc.
393,Moelis & Company,1596967,Moelis & Co
402,Grainger,277135,"W.W. GRAINGER, INC."
411,Coupa,1385867,Coupa Software Inc
414,Avant,943892,AVANT CORP
421,CDW,1402057,CDW Corp
422,Caterpillar,18230,CATERPILLAR INC
428,Flywire,1580560,Flywire Corp
431,Vivid Seats,1856031,Vivid Seats Inc.
432,Waystar,1990354,Waystar Holding Corp.
434,iManage,1093242,IMANAGE INC
435,Boeing,12927,BOEING CO
440,Zoro,1329484,Zoro Mining Corp.
449,Dropbox,1467623,"DROPBOX, INC."
472,OppFi,1818502,OppFi Inc.
482,Sprout Social,1517375,"Sprout Social, Inc."
486,Fortune Brands Innovations,1519751,"Fortune Brands Innovations, Inc."
494,EDGE,1472091,"Edge Therapeutics, Inc."
502,Motion,1735707,Garrett Motion Inc.
525,Veridian,1095901,VERIDIAN CORP
527,Ryan Specialty,1849253,"RYAN SPECIALTY HOLDINGS, INC."
538,Constellation Brands,16918,"CONSTELLATION BRANDS, INC."
543,Accelerated Digital Media,1282224,DOLPHIN DIGITAL MEDIA INC
548,G2,1263364,G2 VENTURES INC
