company_id,company_name,cik,check_type,detail
19,Sage,1597553,revenue_scale,Small but max_rev=$1.11B
42,Regal,1168696,revenue_scale,Small but max_rev=$3.20B
252,ACE & Company,896159,revenue_scale,Small but max_rev=$55.75B
502,Motion,1735707,revenue_scale,Startup but max_rev=$3.00B
614,Focus Partners Australia,1651052,revenue_scale,Small but max_rev=$2.14B
631,Beyond,1130713,revenue_scale,Small but max_rev=$1.74B
1642,Accretive Technology Group,1472595,revenue_scale,Small but max_rev=$1.47B
2103,Veralto,1967680,revenue_scale,Small but max_rev=$5.19B
2370,Charles River CFO,1100682,revenue_scale,Startup but max_rev=$4.13B
2417,Sysco LABS,96021,revenue_scale,Small but max_rev=$78.84B
2591,Atlas Energy Solutions,1984060,revenue_scale,Small but max_rev=$1.06B
2777,Builders,1316835,revenue_scale,Startup but max_rev=$22.73B
2793,Mesa,810332,revenue_scale,Startup but max_rev=$1.17B
2978,Venture Global LNG,2007855,revenue_scale,Small but max_rev=$7.90B
3562,Stake Capital Group,351834,revenue_scale,Startup but max_rev=$1.35B
3919,Gap International,39911,revenue_scale,Small but max_rev=$16.67B
3637,The Block,1512673,duplicate_cik,cik shared with winner company_id=73 (jaccard=1.00)
2452,Sana,1770121,duplicate_cik,cik shared with winner company_id=1840 (jaccard=0.50)
3074,Deluxe Media Inc.,27996,duplicate_cik,cik shared with winner company_id=3749 (jaccard=0.50)
43,Kepler,2000208,non_tech_sic,sector='AI assistants & copilots' but SIC=6411
58,ZS,1459266,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=2834
146,SharkNinja,1957132,non_tech_sic,sector='Creative & design tools' but SIC=3630
160,InterSystems,806011,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=6153
207,Arena (arena-ai),894871,non_tech_sic,sector='AI foundation models' but SIC=4841
293,Marsh McLennan,62709,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=6411
338,Co-Star,1002590,non_tech_sic,sector='Subscription content' but SIC=5990
347,Orion Group,1402829,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=1600
363,Imax Corporation,921582,non_tech_sic,sector='Gaming & virtual environments' but SIC=3861
378,AMC Networks Inc.,1514991,non_tech_sic,sector='Subscription content' but SIC=4841
402,Grainger,277135,non_tech_sic,sector='E-commerce platforms' but SIC=5000
421,CDW,1402057,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=5961
422,Caterpillar,18230,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=3531
435,Boeing,12927,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=3721
440,Zoro,1329484,non_tech_sic,sector='E-commerce platforms' but SIC=1000
456,Motorola Solutions,68505,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=3663
483,HERE Technologies,1932770,non_tech_sic,sector='Developer tooling' but SIC=5945
486,Fortune Brands Innovations,1519751,non_tech_sic,sector='E-commerce platforms' but SIC=2430
538,Constellation Brands,16918,non_tech_sic,sector='E-commerce platforms' but SIC=2080
568,Tyson Foods,100493,non_tech_sic,sector='E-commerce platforms' but SIC=2015
596,Cambium Networks,1738177,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=3663
604,Cushman & Wakefield,1628369,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=6500
639,Huron,1289848,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=8742
655,Littelfuse,889331,non_tech_sic,sector='Developer tooling' but SIC=3613
658,Elastic,1088242,non_tech_sic,sector='Search engines' but SIC=3661
672,Relativity,2072188,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=2844
702,Colliers,913353,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=6500
769,Methode Electronics,65270,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=3678
842,Epirus,1135906,non_tech_sic,sector='Enterprise / ERP / HRM' but SIC=2834
869,Sony,313838,non_tech_sic,sector='Gaming & virtual environments' but SIC=3651
894,iRobot,1159167,non_tech_sic,sector='E-commerce platforms' but SIC=3630
926,Interface AI,715787,non_tech_sic,sector='AI assistants & copilots' but SIC=2273
937,Zevia,1854139,non_tech_sic,sector='E-commerce platforms' but SIC=2086
945,Mattel,63276,non_tech_sic,sector='Gaming & virtual environments' but SIC=3942
