sector,n_companies,n_scored,cagr_median,sfr_median,margin_median,cagr_score,sfr_score,margin_score,investing_score,insufficient_data
Gaming & virtual environments,6,6,0.43579597455992625,2.3378378378378377,0.12147340513409449,0.4964866927637407,0.5955614414215454,0.9427569547096062,0.6961502211563539,0
E-learning & skill platforms,6,6,0.3800000329966057,0.06400734002941046,0.02246371731951036,0.44327756038549365,0.3563825629936913,0.9294396144736574,0.6284067993615517,0
Cybersecurity & identity,13,11,0.4323671748770779,0.22539907402990983,0.042771538461538465,0.4932168589530482,0.3733589796452276,0.9321711266071533,0.6188488696485773,0
Search engines,1,1,0.5238353176583448,-0.1848219144947693,-0.07147467377578223,0.5804443593997882,0.3302087993492623,0.9168043911632233,0.606281700913661,1
Fintech & payments,58,46,0.2181875560138955,-0.24316060609902612,0.16672553867891204,0.28896702691319726,0.32407228968405055,0.9488436122086933,0.5977372056325815,0
Developer tooling,26,24,0.42064576170010737,0.006485950480122231,0.0017509499108135497,0.48203887345950186,0.3503320234080579,0.9266536348700629,0.5935923818758564,0
Productivity & collaboration,15,15,0.32186052683434485,0.19512342272726602,0.04400718009378081,0.38783351565541424,0.37017435514079844,0.9323373271112605,0.5911857319755927,0
Subscription content,6,6,0.2462319886342874,0.30561810651408816,0.09295932121453473,0.3157112646832114,0.38179703087051725,0.9389216557054896,0.5791120929907032,0
E-commerce platforms,30,28,0.13343449718583322,0.5375451092866035,0.07764445479962721,0.2081432859691374,0.4061928864339506,0.936861723074479,0.5778719210348569,0
AI foundation models,16,16,0.3855308618471638,-0.13666793950625503,-0.06356082886848083,0.44855196917267753,0.3352740026441853,0.9178688462436436,0.57109894651611,0
Creative & design tools,2,1,0.18166191057008807,,0.4451891400658866,0.2541347819655093,,0.9862984775340207,0.5679192229234428,1
Marketplaces & gig platforms,29,27,0.2843070936342583,0.3039806996381182,0.09338534705503483,0.3520211332058162,0.3816247958949982,0.9389789584926458,0.5656513591896372,0
Enterprise / ERP / HRM,66,62,0.22348701430965912,0.6031556842045519,0.08714159560670033,0.294020791937886,0.4130943083899875,0.9381391400443553,0.562334496494741,0
Advertising & attention,31,30,0.2810198762617979,0.46619206634618915,0.04092785080968302,0.34888631767216627,0.3986874277819747,0.9319231406141608,0.5610547176846494,0
Smartphones & OS,5,5,0.2614317466235754,0.9060525282227778,0.09267358339984039,0.3302063321076316,0.44495531452102577,0.9388832224190045,0.5591710538159992,0
AI assistants & copilots,4,4,0.0241903786769484,-0.5180734291395032,-0.27779264380275537,0.10396393886218941,0.29515485685709575,0.8890535047167887,0.5377039341122858,1
GovTech / RegTech / MedTech,68,66,0.2706414086611809,-0.4978492882994346,-0.2632575135093333,0.33898901616650257,0.2972821866329769,0.8910085586086244,0.4983129253627382,0
